country,city,year,month,day,value
68,1182,2022,4,23,53.1
40,686,2020,6,11,500.0
40,1579,2022,3,31,128.0
79,1677,2022,4,8,57.0
84,528,2019,7,15,8.1
74,877,2022,4,7,500.0
40,696,2022,4,27,233.0
75,830,2022,5,4,2.3
40,593,2022,5,11,500.0
40,274,2022,3,30,230.0
88,1087,2022,5,15,500.0
84,1260,2022,5,11,55.0
40,660,2018,2,22,170.84
40,744,2022,5,8,26.2
40,1151,2022,4,10,262.0
40,1834,2022,4,20,0.0
40,1466,2022,4,27,151.65
40,368,2022,5,6,113.0
84,1344,2022,4,11,9.0
14,1712,2022,5,8,55.0
40,1538,2022,3,30,112.0
47,916,2022,4,10,383.0
40,1151,2022,4,29,244.0
40,206,2022,5,20,208.66
40,493,2022,4,16,209.39
40,1101,2022,4,26,134.0
40,372,2022,4,25,140.7
40,892,2022,5,9,500.0
40,562,2022,5,19,275.7
84,8,2017,9,7,288.0
40,1101,2022,4,24,500.0
40,805,2022,4,16,57.0
88,405,2022,5,21,54.755
40,696,2022,4,28,253.0
40,160,2022,4,29,279.0
40,208,2022,5,13,55.0
41,159,2022,5,22,178.0
40,614,2022,4,5,146.0
40,604,2022,4,13,246.0
84,1100,2022,5,1,2.5
40,213,2022,4,3,201.0
40,1151,2022,4,5,201.0
40,1084,2022,4,8,439.7
40,705,2022,5,23,500.0
40,1624,2022,4,29,309.0
40,274,2022,4,12,272.0
43,258,2022,5,3,500.0
40,1192,2022,4,4,92.6
40,1624,2022,4,13,305.0
40,604,2022,4,10,70.0
40,160,2022,1,31,233.0
40,1015,2022,4,28,125.57
40,213,2022,4,4,222.0
40,1466,2022,5,5,117.01
40,1780,2021,7,14,500.0
40,867,2022,4,14,238.0
84,309,2022,5,6,442.4
79,396,2022,4,9,56.0
40,1399,2022,5,19,500.0
74,877,2022,4,7,500.0
40,564,2022,4,30,56.4
74,877,2022,4,6,130.0
40,847,2022,4,24,76.53
40,372,2022,3,30,376.6
40,1151,2022,5,12,104.0
40,213,2022,4,7,227.0
63,619,2022,5,21,365.509151
40,206,2022,4,20,155.86
40,379,2022,5,1,500.0
40,100,2022,4,16,100.0
25,105,2022,4,18,7.0
67,947,2022,4,7,408.0
40,1192,2022,4,7,201.9
63,263,2022,5,15,2.0
47,916,2022,5,6,420.0
40,859,2022,4,9,122.0
40,1152,2018,2,21,245.0
40,696,2022,5,11,68.0
4,1653,2022,5,14,1.99
40,1082,2022,4,6,129.0
54,1362,2022,4,27,12.2
84,309,2022,5,6,442.4
14,992,2022,5,7,116.0
