country,city,year,month,day,value
40,207,2022,4,17,231.8
4,69,2022,4,6,3.17
63,1193,2022,4,26,1.495769
40,759,2022,3,31,131.0
84,582,2022,5,5,1.7
40,562,2022,5,26,212.8
9,1078,2022,5,17,500.0
11,1406,2022,4,23,5.5
40,160,2022,4,8,339.0
40,274,2022,4,12,272.0
40,614,2022,4,13,238.0
63,1576,2022,4,19,19.1
78,1157,2022,4,21,292.0
28,999,2022,4,30,13.6
84,309,2022,5,6,442.4
40,73,2022,5,4,52.23
40,1151,2022,4,8,265.0
40,1624,2022,4,19,162.0
40,42,2022,4,15,291.43
40,1192,2022,4,14,264.0
3,1217,2022,4,20,15.0
40,1612,2022,5,9,0.0
40,1538,2022,4,17,207.0
40,1428,2022,4,22,9.0
15,1607,2022,5,23,202.0
40,207,2022,4,17,231.8
40,1131,2022,4,7,109.75
71,829,2022,4,24,14.5955
78,1157,2022,5,5,320.0
40,562,2022,4,6,283.7
40,1101,2022,4,9,305.0
40,206,2022,3,30,204.72
40,867,2022,4,14,238.0
36,1816,2022,4,12,290.2055
40,562,2018,2,22,232.0
40,1101,2022,4,8,285.0
40,892,2022,5,11,500.0
14,1749,2022,5,14,27.0
84,1310,2022,5,20,8.5
40,206,2022,4,9,215.07
84,383,2022,5,12,8.0
40,201,2022,4,25,97.0
62,1833,2022,4,20,11.0324
40,562,2022,4,13,214.0
40,1151,2022,4,13,202.0
40,509,2022,4,25,431.6
40,493,2022,4,16,209.39
41,159,2022,4,17,105.0
14,441,2022,5,20,270.0
40,705,2022,4,6,500.0
62,1473,2022,4,5,3.97542
40,876,2022,4,17,114.13
15,653,2022,4,8,500.0
40,604,2022,4,3,249.0
84,594,2022,4,12,47.0
40,847,2022,4,30,165.09
40,119,2022,4,4,86.0
40,1624,2022,4,16,242.0
40,213,2022,3,31,260.0
69,563,2022,4,4,1.1
40,604,2022,5,20,36.56
84,946,2022,4,30,4.0
4,192,2022,5,16,0.0
40,728,2022,5,1,128.9
84,1864,2022,3,31,9.7
40,160,2022,4,13,241.0
40,210,2021,7,19,500.0
40,482,2016,11,9,241.0
40,868,2022,4,12,267.0
40,868,2022,4,4,176.0
40,1628,2022,5,8,109.0
14,1400,2022,5,4,13.0
84,1080,2022,5,4,0.9
60,44,2021,9,23,323.95
40,1146,2022,4,29,500.0
40,1313,2022,4,13,128.23
84,1774,2022,5,11,5.2
40,1893,2022,5,10,58.0
84,462,2022,4,14,2.6
40,42,2022,4,15,291.43
33,656,2022,4,12,39.0
40,1084,2022,4,18,207.2
67,947,2022,4,7,408.0
28,541,2022,5,26,4.5
40,696,2022,4,8,240.0
41,159,2022,4,11,374.0
60,590,2022,5,7,32.8
62,1218,2022,4,12,5.79038
29,1658,2022,4,15,8.0
79,1345,2022,4,11,77.0
29,1646,2022,5,26,5.0
14,1710,2022,5,19,56.0
40,282,2022,4,17,208.0
40,206,2022,4,9,215.07
40,661,2022,3,31,209.35
43,258,2022,5,8,9.09
40,614,2022,4,30,112.0
40,805,2022,4,19,60.0
40,614,2022,4,19,215.0
10,1696,2022,4,4,1.0
40,570,2022,4,23,162.05
40,482,2018,2,21,271.0
40,614,2022,4,13,238.0
40,164,2022,4,9,500.0
84,1056,2022,5,10,2.0
84,1047,2022,4,7,11.0
15,1607,2022,5,23,202.0
40,1393,2022,3,31,10.0
79,280,2022,4,4,13.0
28,455,2022,5,6,7.3
40,1173,2022,4,27,118.68
40,1780,2021,7,14,500.0
40,686,2022,4,17,122.6
15,2214,2020,12,31,207.0
62,1218,2022,4,20,9.778
40,1780,2021,7,9,500.0
84,1850,2022,4,15,4.0
40,914,2022,4,21,101.79
40,1151,2022,4,5,201.0
63,619,2022,5,22,500.0
40,562,2022,4,5,251.0
40,1015,2018,2,22,190.61
40,1381,2022,3,29,57.45
40,1226,2022,4,28,117.0
40,81,2022,5,9,67.18
40,385,2022,4,5,208.0
40,493,2022,4,17,183.77
68,1933,2022,4,8,1.9
84,926,2022,4,26,15.6
40,385,2022,4,12,57.0
40,696,2022,4,5,148.0
40,696,2022,4,27,233.0
40,1325,2022,4,25,66.41
84,803,2022,4,22,4.7
25,963,2020,6,4,500.0
40,1432,2022,4,17,65.0
84,510,2022,4,19,3.2
40,161,2022,4,7,221.99
88,1862,2022,5,26,262.458
40,372,2022,4,25,140.7
40,696,2022,5,25,109.0
84,1310,2022,5,11,14.7
76,1622,2015,9,25,282.9
84,674,2018,7,18,7.0
14,944,2022,5,16,56.0
28,370,2022,5,6,7.3
40,1466,2022,5,20,226.98
84,1487,2022,5,9,29.0
43,1585,2022,4,10,1.0
79,850,2022,5,3,9.0
79,1338,2022,4,9,79.0
14,441,2022,5,18,275.0
40,696,2022,4,7,202.0
4,1363,2022,4,18,5.9
40,493,2022,4,16,209.39
